actual_price,predicted_price,residual,absolute_error,percentage_error,signed_percentage_error,price_band
41990.0,35725.0,6265.0,6265.0,14.920219099785664,14.920219099785664,High
28982.0,29241.283,-259.283203125,259.283203125,0.8946353016527501,-0.8946353016527501,Mid
34999.0,33637.984,1361.015625,1361.015625,3.888727177919369,3.888727177919369,Mid
19990.0,19520.758,469.2421875,469.2421875,2.3473846298149073,2.3473846298149073,Low
52730.0,51427.465,1302.53515625,1302.53515625,2.470197527498578,2.470197527498578,High
29830.0,28397.436,1432.564453125,1432.564453125,4.802428605849816,4.802428605849816,Mid
27250.0,51465.74,-24215.73828125,24215.73828125,88.86509461009175,-88.86509461009175,Mid
29990.0,20479.002,9510.998046875,9510.998046875,31.71389812229076,31.71389812229076,Mid
13499.0,13706.334,-207.333984375,207.333984375,1.5359210635973035,-1.5359210635973035,Low
32900.0,28396.027,4503.97265625,4503.97265625,13.689886493161094,13.689886493161094,Mid
9999.0,17029.312,-7030.3125,7030.3125,70.31015601560155,-70.31015601560155,Low
38888.0,36762.277,2125.72265625,2125.72265625,5.466268916503806,5.466268916503806,High
53600.0,48379.44,5220.55859375,5220.55859375,9.73984812266791,9.73984812266791,High
29910.0,32824.035,-2914.03515625,2914.03515625,9.742678556502842,-9.742678556502842,Mid
29999.0,27772.252,2226.748046875,2226.748046875,7.422740914280476,7.422740914280476,Mid
68800.0,58759.94,10040.05859375,10040.05859375,14.593108421148257,14.593108421148257,High
45990.0,50089.31,-4099.30859375,4099.30859375,8.913478133833443,-8.913478133833443,High
12499.0,15298.877,-2799.876953125,2799.876953125,22.400807689615167,-22.400807689615167,Low
36990.0,34118.94,2871.05859375,2871.05859375,7.76171558191403,7.76171558191403,Mid
14990.0,15147.476,-157.4755859375,157.4755859375,1.050537597981988,-1.050537597981988,Low
32890.0,32306.04,583.9609375,583.9609375,1.7754969215567042,1.7754969215567042,Mid
9999.0,7283.306,2715.69384765625,2715.69384765625,27.159654442006705,27.159654442006705,Low
16950.0,13773.283,3176.716796875,3176.716796875,18.741692016961654,18.741692016961654,Low
64990.0,52550.543,12439.45703125,12439.45703125,19.14057090513925,19.14057090513925,High
8999.0,10575.924,-1576.923828125,1576.923828125,17.52332290393377,-17.52332290393377,Low
17500.0,18237.514,-737.513671875,737.513671875,4.214363839285714,-4.214363839285714,Low
11990.0,15515.883,-3525.8828125,3525.8828125,29.40686248957465,-29.40686248957465,Low
29990.0,22961.055,7028.9453125,7028.9453125,23.437630251750583,23.437630251750583,Mid
12499.0,10425.627,2073.373046875,2073.373046875,16.588311439915195,16.588311439915195,Low
27987.0,25924.936,2062.064453125,2062.064453125,7.3679367317861875,7.3679367317861875,Mid
39990.0,34291.74,5698.26171875,5698.26171875,14.249216601025255,14.249216601025255,High
22999.0,20257.145,2741.85546875,2741.85546875,11.921629065394148,11.921629065394148,Mid
53999.0,47899.957,6099.04296875,6099.04296875,11.29473317792922,11.29473317792922,High
31999.0,30227.883,1771.1171875,1771.1171875,5.534914177005532,5.534914177005532,Mid
53585.0,55469.355,-1884.35546875,1884.35546875,3.5165726765885976,-3.5165726765885976,High
